,token,frequency,z-score,freq_ratio
445,republicans,5052,1.0661120964965929,0.0015889695570165492
384,real,5235,1.0654608078830656,0.0016465272428704742
170,scotus,3025,1.0427061447769717,0.0009514316923941135
745,potus,1688,1.0349818785687463,0.0005309146104995913
274,hard,2748,1.0070518486965003,0.0008643088564294294
548,china,2991,0.9994516189404671,0.0009407379146944771
284,already,3293,0.9994516189404671,0.0010357238224971291
268,corruption,3144,0.9970517931951441,0.0009888599143428407
864,leader,1377,0.9970517931951441,0.00043309799683527087
127,leftist,1665,0.9728389243098094,0.0005236805844086608
152,fair,3167,0.9712019023170049,0.000996093940433771
83,massive,12890,0.9641154670012749,0.004054199839656239
1006,peter,559,0.9576641572945364,0.0001758182862969618
707,ccp,1168,0.9576641572945364,0.0003673627162698594
461,runoff,1956,0.9576641572945364,0.000615206740602607
231,refuse,2041,0.9576641572945364,0.0006419411848516978
153,corrupt,6823,0.9569411440144109,0.0021459895660181937
73,steal,7800,0.9434352627447046,0.0024532784134459786
737,software,3222,0.9330112528206356,0.0010133926984773004
675,city,1869,0.9330112528206356,0.0005878432506064787
721,liar,1384,0.9228678851133896,0.00043529965694990186
134,doubt,1771,0.9167036110326797,0.0005570200090016447
40,hour,1626,0.9167036110326797,0.0005114141923414309
120,demand,4490,0.9166556408808055,0.0014122077020990312
43,get,25533,0.8993914399846463,0.008030712529553355
609,communist,2275,0.8945302962362013,0.0007155395372550771
876,effort,2031,0.8945302962362013,0.0006387959561165106
338,love,3298,0.8751630316004075,0.0010372964368647228
830,chinese,1238,0.8740406386831008,0.00038937931741616944
411,department,1708,0.8740406386831008,0.0005372050679699656
335,else,1747,0.8740406386831008,0.0005494714600371955
74,do,4982,0.8648046312227302,0.0015669529558702392
473,plan,3644,0.8596416259003599,0.0011461213511021983
199,bad,2490,0.8550062006311051,0.0007831619550616009
754,admit,2568,0.8415536214060279,0.0008076947391960607
133,americans,5459,0.8358657995328083,0.0017169803665386663
136,republic,2306,0.8295291683695979,0.0007252897463341573
113,start,4742,0.8229144017666988,0.0014914674662257475
334,anything,2639,0.8143816363786032,0.0008300258632158895
1010,fellony,236,0.7834823619626604,7.422739815041679e-05
782,mind,1210,0.7830036435022535,0.0003805726769576454
916,child,1193,0.7830036435022535,0.00037522578810782724
511,pick,1050,0.7830036435022535,0.000330249017194651
275,forensic,1831,0.7725944655035875,0.0005758913814127675
79,destroy,2849,0.7471232545298714,0.0008960756666548196
975,sincerely,198,0.7457431112751916,6.227552895670561e-05
610,prison,1393,0.7213459436153925,0.0004381303628115703
128,crime,3435,0.6868461469194803,0.0010803860705367867
118,understand,1789,0.6852563419456356,0.0005626814207249815
464,push,2141,0.6852563419456356,0.0006733934722035693
137,voice,993,0.6831283008086491,0.0003123212134040842
563,additional,941,0.6831283008086491,0.00029596602398111103
562,identify,806,0.6831283008086491,0.0002535054360560845
497,suspend,1079,0.6831283008086491,0.0003393701805266937
845,likely,1349,0.6831283008086491,0.00042429135637674683
740,deliver,539,0.6831283008086491,0.00016952782882658749
368,usa,1628,0.6831283008086491,0.0005120432380884683
695,follower,638,0.6831283008086491,0.0002006655933049403
974,withhold,350,0.6831283008086491,0.00011008300573155032
62,support,5285,0.6679907843666176,0.00166225338654641
165,insist,450,0.6511293933264909,0.00014153529308342185
742,death,847,0.6411091601663326,0.0002664008738703518
51,one,19140,0.6373983112105046,0.006019967799148209
1002,floyd,87,0.6319180716589171,2.7363489996128225e-05
188,large,1892,0.6293129307298726,0.0005950772766974092
404,late,1500,0.6293129307298726,0.0004717843102780728
705,usb,439,0.6293129307298726,0.00013807554147471599
229,freedom,1452,0.6293129307298726,0.0004566872123491745
500,lack,985,0.6293129307298726,0.0003098050304159345
277,ensure,1132,0.6293129307298726,0.0003560398928231856
650,clearly,1167,0.6293129307298726,0.00036704819339634064
753,suppose,1083,0.6293129307298726,0.0003406282720207686
357,block,2326,0.6270785257038934,0.0007315802038045315
200,still,5753,0.6264398920445404,0.0018094500913531685
